startDice, runs, increaseCount, decreaseCount, refillBool
8,104,9,15,1
10,180,9,17,1
12,113,5,15,1
6,64,6,10,1
8,45,3,9,1
10,162,11,19,1
12,501,39,49,1
6,14,1,5,1
8,119,8,14,1
10,339,25,33,1
12,546,43,53,1
6,60,5,9,1
8,176,15,21,1
10,66,4,12,1
12,245,18,28,1
6,34,1,5,1
8,45,2,8,1
10,67,6,14,1
12,324,21,31,1
6,5,0,4,1
8,84,10,16,1
10,209,15,23,1
12,257,15,25,1
6,47,2,6,1
8,18,1,7,1
10,208,14,22,1
12,110,8,18,1
6,14,0,4,1
8,66,9,15,1
10,48,6,14,1
12,328,23,33,1
6,26,1,5,1
8,15,1,7,1
10,33,0,8,1
12,99,6,16,1
6,36,4,8,1
8,41,1,7,1
10,151,15,23,1
12,169,9,19,1
6,15,1,5,1
8,90,6,12,1
10,189,19,27,1
12,267,24,34,1
6,9,1,5,1
8,72,7,13,1
10,120,10,18,1
12,170,20,30,1
6,41,2,6,1
8,103,10,16,1
10,129,9,17,1
12,319,24,34,1
6,16,0,4,1
8,74,4,10,1
10,45,3,11,1
12,161,7,17,1
6,54,5,9,1
8,70,6,12,1
10,97,9,17,1
12,178,16,26,1
6,31,3,7,1
8,94,8,14,1
10,143,8,16,1
12,401,27,37,1
6,60,7,11,1
8,126,8,14,1
10,109,10,18,1
12,276,23,33,1
6,18,2,6,1
8,21,0,6,1
10,179,13,21,1
12,371,26,36,1
6,22,2,6,1
8,47,0,6,1
10,276,18,26,1
12,377,32,42,1
6,26,2,6,1
8,174,11,17,1
10,52,4,12,1
12,149,15,25,1
6,10,0,4,1
8,52,5,11,1
10,177,7,15,1
12,219,15,25,1
6,33,3,7,1
8,79,3,9,1
10,197,11,19,1
12,166,17,27,1
6,34,1,5,1
8,17,2,8,1
10,82,2,10,1
12,117,4,14,1
6,24,1,5,1
8,103,9,15,1
10,70,7,15,1
12,286,30,40,1
6,15,1,5,1
8,54,6,12,1
10,108,6,14,1
12,239,21,31,1
6,10,0,4,1
8,60,4,10,1
10,114,11,19,1
12,129,8,18,1
6,26,2,6,1
8,81,10,16,1
10,91,9,17,1
12,306,20,30,1
6,6,0,4,1
8,116,7,13,1
10,107,4,12,1
12,52,0,10,1
6,6,0,4,1
8,72,7,13,1
10,126,7,15,1
12,218,19,29,1
6,20,0,4,1
8,73,6,12,1
10,97,8,16,1
12,713,50,60,1
6,28,3,7,1
8,93,7,13,1
10,255,19,27,1
12,691,65,75,1
6,21,2,6,1
8,81,3,9,1
10,165,19,27,1
12,482,36,46,1
6,10,1,5,1
8,103,9,15,1
10,71,6,14,1
12,196,15,25,1
6,13,1,5,1
8,68,5,11,1
10,160,9,17,1
